source	original_bytes	variant_width	optimized_bytes	output
1-제주도/1-제주도-01.jpg	152471	800	74086	public/images/memories/1-제주도/1-제주도-01-800.webp
1-제주도/1-제주도-01.jpg	152471	1600	190876	public/images/memories/1-제주도/1-제주도-01-1600.webp
2-썸/2-썸-02.jpg	2127969	800	33256	public/images/memories/2-썸/2-썸-02-800.webp
2-썸/2-썸-02.jpg	2127969	1600	207400	public/images/memories/2-썸/2-썸-02-1600.webp
3-전역/3-전역-01.jpg	2269494	800	35128	public/images/memories/3-전역/3-전역-01-800.webp
3-전역/3-전역-01.jpg	2269494	1600	152838	public/images/memories/3-전역/3-전역-01-1600.webp
4-창원 데이트/4-창원 데이트-08.jpg	834073	800	70986	public/images/memories/4-창원 데이트/4-창원 데이트-08-800.webp
4-창원 데이트/4-창원 데이트-08.jpg	834073	1600	212356	public/images/memories/4-창원 데이트/4-창원 데이트-08-1600.webp
5-마산 데이트/5-마산 데이트-03.jpg	2669564	800	101974	public/images/memories/5-마산 데이트/5-마산 데이트-03-800.webp
5-마산 데이트/5-마산 데이트-03.jpg	2669564	1600	363160	public/images/memories/5-마산 데이트/5-마산 데이트-03-1600.webp
6-행궁동 데이트/6-행궁동 데이트-01.jpg	3173770	800	60342	public/images/memories/6-행궁동 데이트/6-행궁동 데이트-01-800.webp
6-행궁동 데이트/6-행궁동 데이트-01.jpg	3173770	1600	232968	public/images/memories/6-행궁동 데이트/6-행궁동 데이트-01-1600.webp
6-행궁동 데이트/6-행궁동 데이트-03.jpg	2921196	800	62506	public/images/memories/6-행궁동 데이트/6-행궁동 데이트-03-800.webp
6-행궁동 데이트/6-행궁동 데이트-03.jpg	2921196	1600	235342	public/images/memories/6-행궁동 데이트/6-행궁동 데이트-03-1600.webp
7-보정동 데이트/7-보정동 데이트-03.jpg	5445371	800	160614	public/images/memories/7-보정동 데이트/7-보정동 데이트-03-800.webp
7-보정동 데이트/7-보정동 데이트-03.jpg	5445371	1600	599416	public/images/memories/7-보정동 데이트/7-보정동 데이트-03-1600.webp
8-안동 데이트/8-안동 데이트-05.jpg	2313260	800	69478	public/images/memories/8-안동 데이트/8-안동 데이트-05-800.webp
8-안동 데이트/8-안동 데이트-05.jpg	2313260	1600	209000	public/images/memories/8-안동 데이트/8-안동 데이트-05-1600.webp
9-부산 데이트/9-부산 데이트-05.jpg	2093863	800	51794	public/images/memories/9-부산 데이트/9-부산 데이트-05-800.webp
9-부산 데이트/9-부산 데이트-05.jpg	2093863	1600	201596	public/images/memories/9-부산 데이트/9-부산 데이트-05-1600.webp
