source	original_bytes	original_dimensions	optimized_bytes	optimized_dimensions
public/images/memories/1-제주도/1-제주도-01.jpg	152471	720x1280	186922	720x1280
public/images/memories/2-썸/2-썸-01.jpg	1744334	4032x3024	54638	2000x1500
public/images/memories/2-썸/2-썸-02.jpg	2127969	3088x2316	54819	2000x1500
public/images/memories/2-썸/2-썸-03.jpg	2352449	4032x3024	51301	2000x1500
public/images/memories/2-썸/2-썸-04.jpg	3275984	4032x3024	55003	2000x1500
public/images/memories/2-썸/2-썸-05.jpg	2180903	4032x3024	51287	2000x1500
public/images/memories/2-썸/2-썸-06.jpg	2585919	4032x3024	51397	2000x1500
public/images/memories/3-전역/3-전역-01.jpg	2269494	2546x3819	475152	1333x2000
public/images/memories/3-전역/3-전역-02.jpg	2388897	4032x3024	54670	2000x1500
public/images/memories/4-창원 데이트/4-창원 데이트-01.jpg	5045635	2546x3819	470409	1333x2000
public/images/memories/4-창원 데이트/4-창원 데이트-02.jpg	344732	1048x1440	368365	1048x1440
public/images/memories/4-창원 데이트/4-창원 데이트-03.jpg	3526238	4032x3024	54993	2000x1500
public/images/memories/4-창원 데이트/4-창원 데이트-04.jpg	2708968	4032x3024	55033	2000x1500
public/images/memories/4-창원 데이트/4-창원 데이트-05.jpg	2902234	4032x3024	55036	2000x1500
public/images/memories/4-창원 데이트/4-창원 데이트-06.jpg	858864	1652x4920	383162	671x2000
public/images/memories/4-창원 데이트/4-창원 데이트-07.jpg	4521869	4032x3024	51265	2000x1500
public/images/memories/4-창원 데이트/4-창원 데이트-08.jpg	834073	1652x4920	219650	671x2000
public/images/memories/4-창원 데이트/4-창원 데이트-09.jpg	1510606	4032x3024	474231	2000x1500
public/images/memories/4-창원 데이트/4-창원 데이트-10.jpg	1407244	4032x3024	514758	2000x1500
public/images/memories/4-창원 데이트/4-창원 데이트-11.jpg	1434226	4032x3024	526603	2000x1500
public/images/memories/4-창원 데이트/4-창원 데이트-12.jpg	2866614	3024x4032	51389	1500x2000
public/images/memories/5-마산 데이트/5-마산 데이트-03.jpg	2669564	3088x2316	54820	2000x1500
public/images/memories/6-행궁동 데이트/6-행궁동 데이트-01.jpg	3173770	4032x3024	55725	2000x1500
public/images/memories/6-행궁동 데이트/6-행궁동 데이트-02.jpg	2397068	4032x3024	54633	2000x1500
public/images/memories/6-행궁동 데이트/6-행궁동 데이트-03.jpg	2921196	4032x3024	51265	2000x1500
public/images/memories/7-보정동 데이트/7-보정동 데이트-01.jpg	6155472	4032x3024	54637	2000x1500
public/images/memories/7-보정동 데이트/7-보정동 데이트-02.jpg	6077096	3024x4032	51389	1500x2000
public/images/memories/7-보정동 데이트/7-보정동 데이트-03.jpg	5445371	4032x3024	51265	2000x1500
public/images/memories/7-보정동 데이트/7-보정동 데이트-04.jpg	6776394	4032x3024	51265	2000x1500
public/images/memories/8-안동 데이트/8-안동 데이트-02.jpg	3177650	4032x3024	54635	2000x1500
public/images/memories/8-안동 데이트/8-안동 데이트-03.jpg	4230341	5712x4284	54952	2000x1500
public/images/memories/8-안동 데이트/8-안동 데이트-04.jpg	3873848	5712x4284	55613	2000x1500
public/images/memories/8-안동 데이트/8-안동 데이트-05.jpg	2313260	3024x4032	55986	1500x2000
public/images/memories/9-부산 데이트/9-부산 데이트-01.jpg	2050808	4032x3024	703512	2000x1500
public/images/memories/9-부산 데이트/9-부산 데이트-02.jpg	2158285	3024x4032	51389	1500x2000
public/images/memories/9-부산 데이트/9-부산 데이트-03.jpg	2833916	4032x3024	54635	2000x1500
public/images/memories/9-부산 데이트/9-부산 데이트-04.jpg	3559734	4032x3024	51265	2000x1500
public/images/memories/9-부산 데이트/9-부산 데이트-05.jpg	2093863	3088x2316	51147	2000x1500
public/images/memories/9-부산 데이트/9-부산 데이트-06.jpg	2322554	4032x3024	54638	2000x1500
public/images/memories/9-부산 데이트/9-부산 데이트-07.jpg	2840114	4032x3024	51265	2000x1500
public/images/memories/9-부산 데이트/9-부산 데이트-09.jpg	2708645	3000x2000	481900	2000x1333
public/images/memories/9-부산 데이트/9-부산 데이트-10.jpg	3099241	3000x2000	580509	2000x1333
public/images/memories/9-부산 데이트/9-부산 데이트-11.jpg	3480832	3000x2000	683163	2000x1333
